index,phase,experiment_name,run_id,dataset_name,model_name,reasoner_model_name,split,question,gold_answer,prediction,gold_normalized,prediction_normalized,exact_match,numeric_match,inference_time_seconds,human_or_machine,error_type,error
0,phase1,phase1_qwen25vl_chartqa_baseline,20260718_222533,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What was the value of the pizza delivery market in the UK at the end of 2017?,6.2,2.1,62,21,0,0,3.6825425980000546,1,,
1,phase1,phase1_qwen25vl_chartqa_baseline,20260718_222533,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What is the smallest value represented,9,9,9,9,1,1,3.4156188509996355,0,,
2,phase1,phase1_qwen25vl_chartqa_baseline,20260718_222533,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,Is Croatia global hunger index extremely alarminhg?,No,No,no,no,1,0,3.748810503999721,0,,
3,phase1,phase1_qwen25vl_chartqa_baseline,20260718_222533,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What was Russia's fertility rate in 2020?,1.74,1.74,174,174,1,1,3.6316151439996247,1,,
4,phase1,phase1_qwen25vl_chartqa_baseline,20260718_222533,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What is the ratio of fixed broadband in the years 2018 and 2019?,1,0.994736842,1,0994736842,0,0,4.419636953000008,0,,
5,phase1,phase1_qwen25vl_chartqa_baseline,20260718_222533,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,Which year recorded the least daily hempseed production in Europe?,1990,1980,1990,1980,0,0,4.128660867000235,0,,
6,phase1,phase1_qwen25vl_chartqa_baseline,20260718_222533,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What was the value of reward-based crowdfunding deals in 2018?,175.4,62.4,1754,624,0,0,3.8206150969999726,1,,
7,phase1,phase1_qwen25vl_chartqa_baseline,20260718_222533,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How much were the gate receipts of the St. Louis Cardinals in 2019?,138,138,138,138,1,1,3.8810969569999543,1,,
8,phase1,phase1_qwen25vl_chartqa_baseline,20260718_222533,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What segment represent by dark grey color?,Both,Neither/ Other,both,neither/ other,0,0,1.7616849869996258,0,,
9,phase1,phase1_qwen25vl_chartqa_baseline,20260718_222533,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What percentage of internet-users said they used WhatsApp in the 3rd quarter of 2020?,87,87,87,87,1,1,3.9093361720001667,1,,
10,phase1,phase1_qwen25vl_chartqa_baseline,20260718_222533,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How man years does the graph represent?,11,11,11,11,1,1,3.6964842450001925,0,,
11,phase1,phase1_qwen25vl_chartqa_baseline,20260718_222533,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What's the ratio(A:B) of the largest value and the rightmost value in WHO category?,0.084027778,2,0084027778,2,0,0,3.8081156819998796,0,,
12,phase1,phase1_qwen25vl_chartqa_baseline,20260718_222533,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,"Find out , who is referred in blue?",620,"Partner (husband, boyfriend)",620,partner (husband boyfriend),0,0,3.789730433999921,0,,
13,phase1,phase1_qwen25vl_chartqa_baseline,20260718_222533,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What is the difference between the first and last year's results?,2.95,25.43,295,2543,0,0,3.693316083999889,0,,
14,phase1,phase1_qwen25vl_chartqa_baseline,20260718_222533,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What is the difference of shares of Private motor insurers?,4,4,4,4,1,1,3.469287895999969,0,,
15,phase1,phase1_qwen25vl_chartqa_baseline,20260718_222533,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How many pharmacists were there in Germany in 2018?,54493,54367,54493,54367,0,0,3.6626996790000703,1,,
