index,phase,experiment_name,run_id,dataset_name,model_name,reasoner_model_name,split,question,gold_answer,prediction,gold_normalized,prediction_normalized,exact_match,numeric_match,inference_time_seconds,human_or_machine,error_type,error
0,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What was the value of the pizza delivery market in the UK at the end of 2017?,6.2,2.1,6.2,2.1,0,0,3.743329026000083,1,,
1,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What is the smallest value represented,9,9,9,9,1,1,3.50475447000008,0,,
2,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,Is Croatia global hunger index extremely alarminhg?,No,No,no,no,1,0,4.000317077000091,0,,
3,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What was Russia's fertility rate in 2020?,1.74,1.74,1.74,1.74,1,1,3.765422223000087,1,,
4,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What is the ratio of fixed broadband in the years 2018 and 2019?,1,0.994736842,1,0.994736842,1,1,4.344462518,0,,
5,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,Which year recorded the least daily hempseed production in Europe?,1990,1980,1990,1980,1,1,4.313700949000122,0,,
6,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What was the value of reward-based crowdfunding deals in 2018?,175.4,62.4,175.4,62.4,0,0,3.8935105569998996,1,,
7,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How much were the gate receipts of the St. Louis Cardinals in 2019?,138,138,138,138,1,1,3.902733951999835,1,,
8,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What segment represent by dark grey color?,Both,Neither/ Other,both,neither/ other,0,0,1.9216723600000023,0,,
9,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What percentage of internet-users said they used WhatsApp in the 3rd quarter of 2020?,87,87,87,87,1,1,4.19232649699984,1,,
10,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How man years does the graph represent?,11,11,11,11,1,1,3.980684187999941,0,,
11,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What's the ratio(A:B) of the largest value and the rightmost value in WHO category?,0.084027778,2,0.084027778,2,0,0,4.291736781999816,0,,
12,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,"Find out , who is referred in blue?",620,"Partner (husband, boyfriend)",620,"partner (husband, boyfriend)",0,0,4.415481264000164,0,,
13,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What is the difference between the first and last year's results?,2.95,25.43,2.95,25.43,0,0,4.29719049900018,0,,
14,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What is the difference of shares of Private motor insurers?,4,4,4,4,1,1,4.128330919000064,0,,
15,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How many pharmacists were there in Germany in 2018?,54493,54367,54493,54367,1,1,4.385402681999949,1,,
16,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What is the sum of Lago di Bolsena and Lago di Bracciano ?,306,306,306,306,1,1,4.129274016000181,0,,
17,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,"The value is 40.49, find the category?",Kidney cancer,Kidney cancer,kidney cancer,kidney cancer,1,0,4.581188338999937,0,,
18,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What company had the highest percentage of smartphone device visits?,Telco,Telco,telco,telco,1,0,4.038023224999961,1,,
19,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How much money did nonprofit organizations report to the IRS in 2016?,2.62,2.62,2.62,2.62,1,1,4.021151959000008,1,,
20,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What's the total Economic growth forecast after the COVID-19 outbreak in Denmark in 2020,2.5,1,2.5,1,0,0,4.024211424999976,0,,
21,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What was the combined percentage of the business and professional and not specified purposes?,17,17,17,17,1,1,3.902304847000096,0,,
22,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,Is the median of green bars greater than the median of the blue bar?,No,Yes,no,yes,0,0,5.86398039300002,0,,
23,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What was Debenhams revenue in the UK in the year ending September 1st 2018?,1832.7,1832.7,1832.7,1832.7,1,1,4.328334699999914,1,,
24,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What was Whistles turnover in 2016?,33,58.5,33,58.5,0,0,3.9857911410001634,1,,
25,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What's the lowest value of the light blue bar?,8,5,8,5,0,0,5.975051948999862,0,,
26,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What is the sum of undernourished people in Low Income economies and Sub-Saharan Africa combined (in millions)?,341.9,349.9,341.9,349.9,1,1,4.5743621310000435,0,,
27,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,Which state had the highest number of turkeys raised in 2018?,Minnesota,Minnesota,minnesota,minnesota,1,0,3.841581407000149,1,,
28,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What is the total of Bad and Good in the Remain?,100,100,100,100,1,1,2.1215808710001056,0,,
29,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How many response options are below 150 n mi?,2,3,2,3,0,0,4.31899419399997,0,,
30,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What's the total add up value of japan and Colombia?,51.7,51.7,51.7,51.7,1,1,3.9998517400001674,0,,
31,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,"What is the average  of females value in the first five region,  from Yorkshire and the humber to south west?",9.8,9.72,9.8,9.72,1,1,4.251519531999975,0,,
32,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,Is the highest value of Myanmar greater than 30000?,Yes,Yes,yes,yes,1,0,4.403023117999965,0,,
33,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How many global subscribers did World of Warcraft have in 2015?,5.5,5.5,5.5,5.5,1,1,4.112930017000053,1,,
