index,phase,experiment_name,run_id,dataset_name,model_name,reasoner_model_name,split,question,gold_answer,prediction,gold_normalized,prediction_normalized,exact_match,numeric_match,human_or_machine,error
0,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What was the value of the pizza delivery market in the UK at the end of 2017?,6.2,2.1,62,21,0,0,1,
1,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What is the smallest value represented,9,Native born,9,native born,0,0,0,
2,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Is Croatia global hunger index extremely alarminhg?,No,no,no,no,1,0,0,
3,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What was Russia's fertility rate in 2020?,1.74,1.43,174,143,0,0,1,
4,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What is the ratio of fixed broadband in the years 2018 and 2019?,1,94%,1,94%,0,0,0,
5,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Which year recorded the least daily hempseed production in Europe?,1990,1960,1990,1960,0,0,0,
6,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What was the value of reward-based crowdfunding deals in 2018?,175.4,100.0,1754,1000,0,0,1,
7,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How much were the gate receipts of the St. Louis Cardinals in 2019?,138,138,138,138,1,1,1,
8,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What segment represent by dark grey color?,Both,nan,both,nan,0,0,0,
9,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What percentage of internet-users said they used WhatsApp in the 3rd quarter of 2020?,87,87%,87,87%,0,1,1,
