index,phase,experiment_name,run_id,dataset_name,model_name,reasoner_model_name,split,question,gold_answer,prediction,gold_normalized,prediction_normalized,exact_match,numeric_match,inference_time_seconds,human_or_machine,error_type,error
0,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,What was the value of the pizza delivery market in the UK at the end of 2017?,6.2,2.1,6.2,2.1,0,0,0.5320960610001748,1,,
1,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,What is the smallest value represented,9,9,9,9,1,1,0.4451275110000097,0,,
2,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,Is Croatia global hunger index extremely alarminhg?,No,No,no,no,1,0,0.44923570200012364,0,,
3,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,What was Russia's fertility rate in 2020?,1.74,1.74,1.74,1.74,1,1,0.5602281750000202,1,,
4,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,What is the ratio of fixed broadband in the years 2018 and 2019?,1,1.0,1,1.0,1,1,0.5256633019998844,0,,
5,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,Which year recorded the least daily hempseed production in Europe?,1990,1990,1990,1990,1,1,0.48598904200002835,0,,
6,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,What was the value of reward-based crowdfunding deals in 2018?,175.4,15.9,175.4,15.9,0,0,0.5317949420000332,1,,
7,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,How much were the gate receipts of the St. Louis Cardinals in 2019?,138,138,138,138,1,1,0.4761669310000798,1,,
8,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,What segment represent by dark grey color?,Both,Both,both,both,1,0,0.12085939999997208,0,,
9,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,What percentage of internet-users said they used WhatsApp in the 3rd quarter of 2020?,87,87,87,87,1,1,0.4437056950000624,1,,
10,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,How man years does the graph represent?,11,11,11,11,1,1,0.44304112999998324,0,,
11,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,What's the ratio(A:B) of the largest value and the rightmost value in WHO category?,0.084027778,0.4,0.084027778,0.4,0,0,0.5549371800000245,0,,
12,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,"Find out , who is referred in blue?",620,"Partner (husband, boyfriend, fiance)",620,"partner (husband, boyfriend, fiance)",0,0,0.8336766229999739,0,,
13,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,What is the difference between the first and last year's results?,2.95,2.95,2.95,2.95,1,1,0.5532308239999111,0,,
14,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,What is the difference of shares of Private motor insurers?,4,4.0,4,4.0,1,1,0.5521980630001053,0,,
15,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,How many pharmacists were there in Germany in 2018?,54493,54388,54493,54388,1,1,0.5129853490000187,1,,
16,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,What is the sum of Lago di Bolsena and Lago di Bracciano ?,306,306,306,306,1,1,0.47547711699985484,0,,
17,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,"The value is 40.49, find the category?",Kidney cancer,Kidney cancer,kidney cancer,kidney cancer,1,0,0.5728964919999271,0,,
18,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,What company had the highest percentage of smartphone device visits?,Telco,Telco,telco,telco,1,0,0.517045817999815,1,,
19,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,How much money did nonprofit organizations report to the IRS in 2016?,2.62,2.62,2.62,2.62,1,1,0.5583985870000561,1,,
20,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,What's the total Economic growth forecast after the COVID-19 outbreak in Denmark in 2020,2.5,2.5,2.5,2.5,1,1,0.5559930579997854,0,,
21,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,What was the combined percentage of the business and professional and not specified purposes?,17,17,17,17,1,1,0.4854986889999964,0,,
22,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,Is the median of green bars greater than the median of the blue bar?,No,No,no,no,1,0,0.2259791530000257,0,,
23,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,What was Debenhams revenue in the UK in the year ending September 1st 2018?,1832.7,1832.7,1832.7,1832.7,1,1,0.5927149559997815,1,,
24,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,What was Whistles turnover in 2016?,33,58.5,33,58.5,0,0,0.5562046780000856,1,,
25,phase1,phase1_internvl25_8b_chartqa_baseline,20260724_202448,HuggingFaceM4/ChartQA,OpenGVLab/InternVL2_5-8B,,val,What's the lowest value of the light blue bar?,8,5,8,5,0,0,0.3391011310000067,0,,
