index,phase,experiment_name,run_id,dataset_name,model_name,split,question,gold_answer,prediction,gold_normalized,prediction_normalized,exact_match,numeric_match,human_or_machine,error
0,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What was the value of the pizza delivery market in the UK at the end of 2017?,6.2,2.1,62,21,0,0,1,
1,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the smallest value represented,9,62,9,62,0,0,0,
2,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,Is Croatia global hunger index extremely alarminhg?,No,Yes,no,yes,0,0,0,
3,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What was Russia's fertility rate in 2020?,1.74,1.74,174,174,1,1,1,
4,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the ratio of fixed broadband in the years 2018 and 2019?,1,9.8,1,98,0,0,0,
5,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,Which year recorded the least daily hempseed production in Europe?,1990,1990,1990,1990,1,1,0,
6,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What was the value of reward-based crowdfunding deals in 2018?,175.4,48.8,1754,488,0,0,1,
7,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How much were the gate receipts of the St. Louis Cardinals in 2019?,138,138,138,138,1,1,1,
8,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What segment represent by dark grey color?,Both,Don't know,both,don't know,0,0,0,
9,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What percentage of internet-users said they used WhatsApp in the 3rd quarter of 2020?,87,87,87,87,1,1,1,
10,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How man years does the graph represent?,11,6,11,6,0,0,0,
11,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What's the ratio(A:B) of the largest value and the rightmost value in WHO category?,0.084027778,0.822222222,0084027778,0822222222,0,0,0,
12,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,"Find out , who is referred in blue?",620,"Partner (husband, boyfriend)",620,partner (husband boyfriend),0,0,0,
13,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the difference between the first and last year's results?,2.95,0.18,295,018,0,0,0,
14,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the difference of shares of Private motor insurers?,4,4,4,4,1,1,0,
15,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How many pharmacists were there in Germany in 2018?,54493,51,54493,51,0,0,1,
16,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the sum of Lago di Bolsena and Lago di Bracciano ?,306,252,306,252,0,0,0,
17,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,"The value is 40.49, find the category?",Kidney cancer,Kidney cancer,kidney cancer,kidney cancer,1,0,0,
18,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What company had the highest percentage of smartphone device visits?,Telco,Telecom,telco,telecom,0,0,1,
19,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How much money did nonprofit organizations report to the IRS in 2016?,2.62,2.62,262,262,1,1,1,
20,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What's the total Economic growth forecast after the COVID-19 outbreak in Denmark in 2020,2.5,5.8,25,58,0,0,0,
21,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What was the combined percentage of the business and professional and not specified purposes?,17,11,17,11,0,0,0,
22,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,Is the median of green bars greater than the median of the blue bar?,No,No,no,no,1,0,0,
