index,phase,experiment_name,run_id,dataset_name,model_name,reasoner_model_name,split,question,gold_answer,prediction,gold_normalized,prediction_normalized,exact_match,numeric_match,inference_time_seconds,human_or_machine,error_type,error
0,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What was the value of the pizza delivery market in the UK at the end of 2017?,6.2,2.1 billion GBP,6.2,2.1 billion gbp,0,0,0.39107103499998175,1,,
1,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What is the smallest value represented,9,9%,9,9%,1,1,0.24458280400000376,0,,
2,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,Is Croatia global hunger index extremely alarminhg?,No,No,no,no,1,0,0.2325531030000434,0,,
3,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What was Russia's fertility rate in 2020?,1.74,1.51,1.74,1.51,0,0,0.313608816999988,1,,
4,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What is the ratio of fixed broadband in the years 2018 and 2019?,1,1,1,1,1,1,0.2137129910000226,0,,
5,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,Which year recorded the least daily hempseed production in Europe?,1990,1990,1990,1990,1,1,0.33467953400003125,0,,
6,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What was the value of reward-based crowdfunding deals in 2018?,175.4,62.4,175.4,62.4,0,0,0.3126160770000297,1,,
7,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,How much were the gate receipts of the St. Louis Cardinals in 2019?,138,138 million U.S. dollars,138,138 million u s dollars,1,1,0.4519225669999969,1,,
8,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What segment represent by dark grey color?,Both,Neither/Other,both,neither/other,0,0,0.2372072860000003,0,,
9,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What percentage of internet-users said they used WhatsApp in the 3rd quarter of 2020?,87,87%,87,87%,1,1,0.2879733020000117,1,,
10,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,How man years does the graph represent?,11,11,11,11,1,1,0.24086962900003073,0,,
11,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What's the ratio(A:B) of the largest value and the rightmost value in WHO category?,0.084027778,20:40,0.084027778,20 40,0,0,0.350537098000018,0,,
12,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,"Find out , who is referred in blue?",620,"Partner (husband, boyfriend)",620,"partner (husband, boyfriend)",0,0,0.4136878910000519,0,,
13,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What is the difference between the first and last year's results?,2.95,26.95 thousand metric tons,2.95,26.95 thousand metric tons,0,0,0.44740007199999354,0,,
14,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What is the difference of shares of Private motor insurers?,4,4%,4,4%,1,1,0.23874751800002514,0,,
15,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,How many pharmacists were there in Germany in 2018?,54493,"54,300",54493,54300,1,1,0.3811149979999868,1,,
16,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What is the sum of Lago di Bolsena and Lago di Bracciano ?,306,306,306,306,1,1,0.27486173400001235,0,,
17,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,"The value is 40.49, find the category?",Kidney cancer,Kidney cancer,kidney cancer,kidney cancer,1,0,0.2952237309999646,0,,
18,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What company had the highest percentage of smartphone device visits?,Telco,Telco,telco,telco,1,0,0.23816611100005503,1,,
19,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,How much money did nonprofit organizations report to the IRS in 2016?,2.62,2.62 trillion U.S. dollars,2.62,2.62 trillion u s dollars,1,1,0.48762845899989316,1,,
20,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What's the total Economic growth forecast after the COVID-19 outbreak in Denmark in 2020,2.5,1%,2.5,1%,0,0,0.24573834900002112,0,,
21,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What was the combined percentage of the business and professional and not specified purposes?,17,17%,17,17%,1,1,0.2710665570000401,0,,
22,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,Is the median of green bars greater than the median of the blue bar?,No,No,no,no,1,0,0.27933718099995986,0,,
23,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What was Debenhams revenue in the UK in the year ending September 1st 2018?,1832.7,"1,832.7 million GBP",1832.7,1832.7 million gbp,1,1,0.4951538239999991,1,,
24,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What was Whistles turnover in 2016?,33,58.5 million GBP,33,58.5 million gbp,0,0,0.38283341399994697,1,,
25,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What's the lowest value of the light blue bar?,8,8,8,8,1,1,0.28010990499990385,0,,
26,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What is the sum of undernourished people in Low Income economies and Sub-Saharan Africa combined (in millions)?,341.9,341.9,341.9,341.9,1,1,0.3667355710000493,0,,
27,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,Which state had the highest number of turkeys raised in 2018?,Minnesota,Minnesota,minnesota,minnesota,1,0,0.20400660300003892,1,,
28,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What is the total of Bad and Good in the Remain?,100,100,100,100,1,1,0.22385295300000507,0,,
29,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,How many response options are below 150 n mi?,2,2,2,2,1,1,0.22548785499998303,0,,
30,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What's the total add up value of japan and Colombia?,51.7,51.7k,51.7,51.7k,1,1,0.3467761279999877,0,,
31,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,"What is the average  of females value in the first five region,  from Yorkshire and the humber to south west?",9.8,9.68,9.8,9.68,1,1,0.3192316710000114,0,,
32,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,Is the highest value of Myanmar greater than 30000?,Yes,Yes,yes,yes,1,0,0.22581718399999318,0,,
33,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,How many global subscribers did World of Warcraft have in 2015?,5.5,5.5 million,5.5,5.5 million,1,1,0.3088694809999879,1,,
